seed,topology,traffic_level,destination_pattern,mask_target,routing_pressure,ablation,baseline_hops,tested_hops,baseline_congested_hops,tested_congested_hops,baseline_mask_size,tested_mask_size,baseline_energy_proxy,tested_energy_proxy,baseline_latency_proxy,tested_latency_proxy,path_changed
11,8x8,medium,clustered,8,high,mask_only,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
11,8x8,medium,clustered,8,high,both,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
11,8x8,medium,clustered,8,high,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,low,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,low,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,low,mask_only,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,medium,clustered,12,low,both,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,medium,clustered,12,low,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,high,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,high,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,12,high,mask_only,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,medium,clustered,12,high,both,4,4,0,0,18,12,7.24,6.16,4.0,4.0,0
11,8x8,medium,clustered,12,high,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,low,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,low,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,low,mask_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,low,both,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,low,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,medium,clustered,18,high,baseline,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,clustered,18,high,space_bits_only,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,clustered,18,high,mask_only,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,clustered,18,high,both,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,clustered,18,high,null_dispatch,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,dispersed,4,low,baseline,2,2,0,0,18,18,5.24,5.24,2.0,2.0,0
11,8x8,medium,dispersed,4,low,space_bits_only,2,2,0,0,18,18,5.24,5.24,2.0,2.0,0
11,8x8,medium,dispersed,4,low,mask_only,2,2,0,0,18,4,5.24,2.72,2.0,2.0,0
11,8x8,medium,dispersed,4,low,both,2,2,0,0,18,4,5.24,2.72,2.0,2.0,0
11,8x8,medium,dispersed,4,low,null_dispatch,2,2,0,0,18,18,5.24,5.24,2.0,2.0,0
11,8x8,medium,dispersed,4,high,baseline,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,medium,dispersed,4,high,space_bits_only,5,5,1,0,18,18,9.14,8.24,6.75,5.0,1
11,8x8,medium,dispersed,4,high,mask_only,5,5,1,1,18,4,9.14,6.62,6.75,6.75,0
11,8x8,medium,dispersed,4,high,both,5,5,1,0,18,4,9.14,5.72,6.75,5.0,1
